date,category,payment_mode,description,amount_paid,cashback
2024-09-16,Food,Net Banking,Race.,2251.57,0.0
2024-09-21,Bills,Net Banking,Middle institution.,3166.85,0.0
2024-09-20,Entertainment,Debit Card,Indeed remain need.,3737.53,0.0
2024-09-01,Food,Credit Card,Television stand.,3985.73,0.0
2024-09-24,Food,Debit Card,Yeah.,1529.56,0.0
2024-09-13,Transport,Net Banking,Simple me.,4752.78,194.4
2024-09-01,Food,Credit Card,List support hair.,4082.48,0.0
2024-09-01,Shopping,Cash,Candidate attention mission.,3810.74,0.0
2024-09-05,Transport,Cash,Coach shoulder.,1187.35,0.0
2024-09-21,Transport,Net Banking,No arrive.,57.59,0.0
2024-09-15,Gifts,UPI,Important already here.,2014.41,0.0
2024-09-22,Entertainment,Cash,Education each foreign.,4754.07,180.12
2024-09-15,Transport,Net Banking,Training.,2821.48,0.0
2024-09-14,Transport,Net Banking,Knowledge blue ago.,445.91,0.0
2024-09-02,Gifts,Credit Card,Standard sit.,2101.65,0.0
2024-09-19,Shopping,Credit Card,High standard town.,4586.29,192.91
2024-09-09,Entertainment,Cash,Significant development commercial.,1311.96,0.0
2024-09-12,Shopping,Cash,Still beautiful.,1775.85,0.0
2024-09-01,Entertainment,Credit Card,Structure finish author.,4115.56,0.0
2024-09-14,Travel,Debit Card,Right.,1678.16,37.33
2024-09-21,Entertainment,Credit Card,More store.,2613.09,0.0
2024-09-17,Food,UPI,Art sense.,4384.7,0.0
2024-09-23,Gifts,Cash,Recently ten.,3743.14,153.66
2024-09-08,Food,Debit Card,Probably present look.,3763.2,81.71
2024-09-10,Food,Debit Card,Bed perhaps condition.,1503.76,46.79
2024-09-27,Travel,Credit Card,You.,2961.85,0.0
2024-09-22,Bills,Debit Card,Without morning member.,2873.11,0.0
2024-09-08,Shopping,Credit Card,Or watch.,1792.02,0.0
2024-09-09,Transport,Net Banking,Research least movie operation.,340.9,0.0
2024-09-24,Entertainment,Cash,North.,2647.98,0.0
2024-09-24,Shopping,UPI,Short standard it.,3031.04,0.0
2024-09-15,Food,Net Banking,Form life rule.,472.31,0.0
2024-09-01,Entertainment,Cash,Sit.,1982.36,0.0
2024-09-14,Travel,Cash,Party line police.,4681.1,0.0
2024-09-22,Travel,Net Banking,Will expert.,342.04,83.64
2024-09-14,Travel,Debit Card,Perhaps realize compare car.,3344.91,0.0
2024-09-18,Travel,UPI,Indeed.,3448.61,0.0
2024-09-18,Bills,UPI,Yourself herself another.,886.1,174.91
2024-09-11,Food,Debit Card,Matter international individual inside.,1238.4,0.0
2024-09-24,Entertainment,Net Banking,Speak modern issue.,1071.27,0.0
2024-09-08,Shopping,UPI,Reach team.,3860.61,0.0
2024-09-16,Travel,Net Banking,Much couple.,1533.18,51.82
2024-09-10,Travel,Net Banking,Change at air.,3921.28,0.0
2024-09-08,Bills,Debit Card,Main.,1083.84,0.0
2024-09-12,Gifts,Cash,Force together.,3719.83,0.0
2024-09-20,Gifts,Net Banking,Court science together among.,2678.96,0.0
2024-09-06,Shopping,Credit Card,Add worry value.,4071.76,170.04
2024-09-19,Entertainment,UPI,Benefit fear.,1947.21,0.0
2024-09-14,Gifts,Cash,Institution treat.,3646.22,0.0
2024-09-07,Travel,Cash,Control pull.,3496.83,0.0
2024-09-16,Transport,Cash,Huge that.,3406.32,0.0
2024-09-27,Food,UPI,Most like.,521.84,133.76
2024-09-07,Shopping,Credit Card,Beyond condition director.,1070.3,0.0
2024-09-12,Transport,Credit Card,Federal.,4112.53,121.61
2024-09-04,Food,UPI,Example base.,2740.05,0.0
2024-09-12,Entertainment,Debit Card,Capital range.,2736.16,0.0
2024-09-20,Entertainment,UPI,Thousand language.,571.65,29.81
2024-09-18,Shopping,Net Banking,Free.,3601.76,0.0
2024-09-15,Gifts,Debit Card,Sense build.,284.83,0.0
2024-09-15,Bills,Debit Card,Provide position nearly.,2073.83,0.0
2024-09-14,Travel,Credit Card,Congress.,142.31,0.0
2024-09-23,Transport,Debit Card,Head clearly hand.,1808.61,0.0
2024-09-07,Entertainment,Debit Card,Visit.,1296.41,0.0
2024-09-03,Gifts,Credit Card,Wish store plant.,516.56,0.0
2024-09-02,Shopping,Debit Card,Green during top.,4273.81,6.63
2024-09-16,Bills,Net Banking,Fact person fact.,2541.2,0.0
2024-09-17,Transport,Debit Card,Pick system.,123.92,140.57
2024-09-01,Gifts,Net Banking,Already.,2079.12,0.0
2024-09-15,Shopping,UPI,Spend religious standard.,1214.32,0.0
2024-09-22,Travel,Cash,Appear yard arrive.,2940.76,0.0
2024-09-04,Food,Debit Card,Water describe item.,960.68,0.0
2024-09-21,Transport,Debit Card,List evidence imagine reason.,4902.39,0.0
2024-09-01,Shopping,Net Banking,Heart term recognize.,376.19,0.0
2024-09-16,Shopping,Cash,Watch similar among.,2573.46,0.0
2024-09-21,Food,Net Banking,Maybe officer live.,1041.65,0.0
2024-09-20,Entertainment,Cash,Including.,3247.32,0.0
2024-09-21,Food,UPI,Size wrong decision.,1061.74,0.0
2024-09-02,Gifts,Net Banking,Force per message ok.,2078.09,0.0
2024-09-14,Entertainment,Credit Card,Hard production.,1955.25,0.0
2024-09-03,Travel,UPI,Into enough before.,4479.18,0.0
2024-09-11,Transport,UPI,Skin despite reflect effect.,734.18,156.11
2024-09-20,Transport,Credit Card,Note move.,1448.98,0.0
2024-09-16,Bills,Credit Card,Something become.,2727.12,0.0
2024-09-27,Transport,Cash,Once.,2006.66,30.25
2024-09-05,Bills,Debit Card,Decade role consumer federal.,806.35,0.0
2024-09-04,Travel,Debit Card,Church administration he imagine.,3572.6,0.0
2024-09-02,Bills,Net Banking,Feel thought race.,3430.01,0.0
2024-09-11,Bills,Debit Card,Next voice a.,642.98,129.91
2024-09-21,Shopping,UPI,Word.,3795.07,0.0
2024-09-08,Bills,UPI,Address usually.,3000.35,0.0
2024-09-04,Shopping,Debit Card,Produce raise head.,3674.34,81.17
2024-09-18,Gifts,UPI,Report chance laugh.,1074.44,0.0
2024-09-19,Shopping,Net Banking,Home good.,647.51,0.0
2024-09-10,Travel,Net Banking,Travel have.,483.62,0.0
2024-09-21,Shopping,Cash,Deep inside.,1450.94,0.0
2024-09-21,Shopping,UPI,Have court it.,4755.86,0.0
2024-09-14,Entertainment,Cash,This total wait.,2318.27,12.28
2024-09-13,Food,UPI,Entire black.,1448.09,0.0
